Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
Requisição HTTP,2000,23858,1033,64463,12797.92,23.600%,30.18503,183.32,6.86,6219.0
TOTAL,2000,23858,1033,64463,12797.92,23.600%,30.18503,183.32,6.86,6219.0
